_id,APPLICATION_TYPE,APPLICATION#,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,DATE_SUBMITTED,STATUS,X,Y,DESCRIPTION,REFERENCE_FILE#,FOLDERRSN,WARD_NUMBER,WARD_NAME,COMMUNITY_MEETING_DATE,COMMUNITY_MEETING_TIME,COMMUNITY_MEETING_LOCATION,APPLICATION_URL,CONTACT_NAME,CONTACT_PHONE,CONTACT_EMAIL,PARENT_FOLDER_NUMBER
11,CD,21 202761 STE 11 CD,27,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Draft Plan Approved,314633.122,4837121.316,Draft Plan of Common Elements Condominium to permit 5 separate Parcels of Tied Land (POTLs).,,4982966,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=q4dmlfjBHiV%2Fi3uiHUmDSA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
12,CD,21 202761 STE 11 CD,29,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Draft Plan Approved,314633.246,4837141.488,Draft Plan of Common Elements Condominium to permit 5 separate Parcels of Tied Land (POTLs).,,4982966,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=q4dmlfjBHiV%2Fi3uiHUmDSA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
13,CD,21 202761 STE 11 CD,33,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Draft Plan Approved,314614.4,4837164.318,Draft Plan of Common Elements Condominium to permit 5 separate Parcels of Tied Land (POTLs).,,4982966,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=q4dmlfjBHiV%2Fi3uiHUmDSA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
14,CD,21 227991 STE 10 CD,40,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313507.735,4834008.992,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
15,CD,21 227991 STE 10 CD,56,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313496.127,4834051.452,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
16,CD,21 227991 STE 10 CD,54,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313497.629,4834044.667,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
17,CD,21 227991 STE 10 CD,52,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313497.209,4834039.742,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
18,CD,21 227991 STE 10 CD,48,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313502.427,4834030,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
19,CD,21 227991 STE 10 CD,46,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313503.899,4834024.275,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
20,CD,21 227991 STE 10 CD,44,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313505.187,4834018.589,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
21,CD,21 227991 STE 10 CD,42,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313506.552,4834013.413,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
22,CD,21 227991 STE 10 CD,50,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313500.317,4834036.823,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
23,CD,21 227991 STE 10 CD,58,WIDMER,ST, ,M5V,2021-10-20T00:00:00,Closed,313493.946,4834057.9,Draft Plan of Condominium for 426 units.,,5012387,10,Spadina-Fort York,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4SNogctW0PJz3ZoICExnzA%3D%3D,,,,12 188716 STE 20 OZ
24,PL,21 200820 WET 07 PL,3002,ISLINGTON,AVE, ,M9L,2021-08-18T00:00:00,Closed,298968.765,4846464.543,"Part Lot Control Exemption application to create 32 parcels of tied land associated with a common element condominium, as well as 14 freehold townhouse units.",,4980668,07,Humber River-Black Creek,,,,(Encrypted),,,,15 268779 WET 07 OZ
25,PL,21 200820 WET 07 PL,3004,ISLINGTON,AVE, ,M9L,2021-08-18T00:00:00,Closed,298961.275,4846473.526,"Part Lot Control Exemption application to create 32 parcels of tied land associated with a common element condominium, as well as 14 freehold townhouse units.",,4980668,07,Humber River-Black Creek,,,,(Encrypted),,,,15 268779 WET 07 OZ
26,PL,21 200820 WET 07 PL,3006,ISLINGTON,AVE, ,M9L,2021-08-18T00:00:00,Closed,298953.653,4846488.496,"Part Lot Control Exemption application to create 32 parcels of tied land associated with a common element condominium, as well as 14 freehold townhouse units.",,4980668,07,Humber River-Black Creek,,,,(Encrypted),,,,15 268779 WET 07 OZ
27,PL,21 200820 WET 07 PL,3010,ISLINGTON,AVE, ,M9L,2021-08-18T00:00:00,Closed,298942.997,4846509.426,"Part Lot Control Exemption application to create 32 parcels of tied land associated with a common element condominium, as well as 14 freehold townhouse units.",,4980668,07,Humber River-Black Creek,,,,(Encrypted),,,,15 268779 WET 07 OZ
28,PL,21 200820 WET 07 PL,3014,ISLINGTON,AVE, ,M9L,2021-08-18T00:00:00,Closed,298933.095,4846528.973,"Part Lot Control Exemption application to create 32 parcels of tied land associated with a common element condominium, as well as 14 freehold townhouse units.",,4980668,07,Humber River-Black Creek,,,,(Encrypted),,,,15 268779 WET 07 OZ
29,OZ,21 228594 STE 09 OZ,200,BENNY STARK,ST, ,   ,2021-10-21T00:00:00,Appeal Received,307303.723,4837507.138,"Official Plan and Zoning By-law Amendment Application to facilitate the redevelopment of the site for a mixed-use development comprised of 7 buildings throughout the site, anchored by a public park of approximately 4,733 square metres.  The proposed residential gross floor area is 179,357 square metres, and the proposed non-residential gross floor area is 9,408 square metres.  A total of 2,516 residential dwelling units are proposed.",,5013092,09,Davenport,2022-04-13T00:00:00,6:30pm,,http://app.toronto.ca/AIC/index.do?folderRsn=lL917KhyCNzOkpjBViEQjg%3D%3D,"Arora, Kishmita",416-397-4647,Kishmita.Arora@toronto.ca,
30,SA,22 150805 STE 14 SA,661,QUEEN,ST,E,M4M,2022-05-24T00:00:00,Closed,316758.465,4835162.09,"Amendment to SPA File No. 16 106006 STE 30 SA to increase the total units in the development from 898 to 912. This includes converting 20, 3-bedroom units to 34, 1- and 2-bedroom units and one 4-bedroom unit on Floors 2 to 6 in the Phase 2 building",,5105217,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4ZeebUmmh2KvrmfIgSojfQ%3D%3D,,,,14 176221 STE 30 OZ
31,SA,22 150805 STE 14 SA,77,EAST DON ROADWAY, , ,M4M,2022-05-24T00:00:00,Closed,316682.314,4835055.164,"Amendment to SPA File No. 16 106006 STE 30 SA to increase the total units in the development from 898 to 912. This includes converting 20, 3-bedroom units to 34, 1- and 2-bedroom units and one 4-bedroom unit on Floors 2 to 6 in the Phase 2 building",,5105217,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4ZeebUmmh2KvrmfIgSojfQ%3D%3D,,,,14 176221 STE 30 OZ
32,SA,22 150805 STE 14 SA,79,EAST DON ROADWAY, , ,M4M,2022-05-24T00:00:00,Closed,316668.542,4835074.531,"Amendment to SPA File No. 16 106006 STE 30 SA to increase the total units in the development from 898 to 912. This includes converting 20, 3-bedroom units to 34, 1- and 2-bedroom units and one 4-bedroom unit on Floors 2 to 6 in the Phase 2 building",,5105217,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=4ZeebUmmh2KvrmfIgSojfQ%3D%3D,,,,14 176221 STE 30 OZ
33,SA,21 210738 WET 03 SA,111,SHORNCLIFFE,RD, ,M8Z,2021-09-10T00:00:00,Closed,301453.464,4831439.811,"Addition and Renovations to Meat Packaging Plant. Expand Office Area, 2 Storey and Production Area with Coolers on 2nd Storey. Parking Area provided North of Building with Acquisition of Lots to Include Address 111-127(Increase Existing Site 4818m2 lot size by approximately 4492m2 for total of 9310m2) ",,4992309,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=jSXKbiJ30XxT904L4Btelw%3D%3D,,,,
34,SA,21 210738 WET 03 SA,113,SHORNCLIFFE,RD, ,M8Z,2021-09-10T00:00:00,Closed,301461.957,4831423.664,"Addition and Renovations to Meat Packaging Plant. Expand Office Area, 2 Storey and Production Area with Coolers on 2nd Storey. Parking Area provided North of Building with Acquisition of Lots to Include Address 111-127(Increase Existing Site 4818m2 lot size by approximately 4492m2 for total of 9310m2) ",,4992309,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=jSXKbiJ30XxT904L4Btelw%3D%3D,,,,
35,SA,21 210738 WET 03 SA,115,SHORNCLIFFE,RD, ,M8Z,2021-09-10T00:00:00,Closed,301468.573,4831405.287,"Addition and Renovations to Meat Packaging Plant. Expand Office Area, 2 Storey and Production Area with Coolers on 2nd Storey. Parking Area provided North of Building with Acquisition of Lots to Include Address 111-127(Increase Existing Site 4818m2 lot size by approximately 4492m2 for total of 9310m2) ",,4992309,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=jSXKbiJ30XxT904L4Btelw%3D%3D,,,,
36,SA,21 210738 WET 03 SA,119,SHORNCLIFFE,RD, ,M8Z,2021-09-10T00:00:00,Closed,301473.716,4831383.714,"Addition and Renovations to Meat Packaging Plant. Expand Office Area, 2 Storey and Production Area with Coolers on 2nd Storey. Parking Area provided North of Building with Acquisition of Lots to Include Address 111-127(Increase Existing Site 4818m2 lot size by approximately 4492m2 for total of 9310m2) ",,4992309,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=jSXKbiJ30XxT904L4Btelw%3D%3D,,,,
37,SA,21 210738 WET 03 SA,127,SHORNCLIFFE,RD, ,M8Z,2021-09-10T00:00:00,Closed,301493.026,4831332.272,"Addition and Renovations to Meat Packaging Plant. Expand Office Area, 2 Storey and Production Area with Coolers on 2nd Storey. Parking Area provided North of Building with Acquisition of Lots to Include Address 111-127(Increase Existing Site 4818m2 lot size by approximately 4492m2 for total of 9310m2) ",,4992309,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=jSXKbiJ30XxT904L4Btelw%3D%3D,,,,
38,CD,21 214949 ESC 22 CD,3453,VICTORIA PARK,AVE, ,M1W,2021-09-19T00:00:00,Closed,318205.201,4850758.434,4 blocks of stacked town houses,,4997148,22,Scarborough-Agincourt,,,,http://app.toronto.ca/AIC/index.do?folderRsn=rhbzYctUpuzT1ZnPROZz8Q%3D%3D,,,,18 146844 ESC 39 OZ
39,CD,21 214949 ESC 22 CD,50-68,MORECAMBE,GT, ,M1W,2021-09-19T00:00:00,Closed,318259.868,4850746.207,4 blocks of stacked town houses,,4997148,22,Scarborough-Agincourt,,,,http://app.toronto.ca/AIC/index.do?folderRsn=rhbzYctUpuzT1ZnPROZz8Q%3D%3D,,,,18 146844 ESC 39 OZ
40,SA,21 226413 WET 03 SA,5238,DUNDAS,ST,W,M9B,2021-10-15T00:00:00,NOAC Issued,301693.087,4832996.796,"Site Plan Control application for a 41 storey mixed-use residential building, comprised of 521 residential units, 421 square metres of at-grade commercial space and a 300 square metre off-site parkland dedication.",,5010540,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=NHs3gPhKSazWfX8zYpThQA%3D%3D,"Soscia, Anthony",416-394-6041,Anthony.Soscia@toronto.ca,21 215777 WET 03 OZ
41,SA,21 226413 WET 03 SA,28,JOPLING,AVE,S,M9B,2021-10-15T00:00:00,NOAC Issued,301668.121,4833044.593,"Site Plan Control application for a 41 storey mixed-use residential building, comprised of 521 residential units, 421 square metres of at-grade commercial space and a 300 square metre off-site parkland dedication.",,5010540,03,Etobicoke-Lakeshore,,,,http://app.toronto.ca/AIC/index.do?folderRsn=NHs3gPhKSazWfX8zYpThQA%3D%3D,"Soscia, Anthony",416-394-6041,Anthony.Soscia@toronto.ca,21 215777 WET 03 OZ
42,OZ,21 251437 STE 10 OZ,111,STRACHAN,AVE, ,M6J,2021-12-24T00:00:00,Closed,311897.42,4833433.308,"Official Plan and Zoning By-law amendment application to facilitate the redevelopment of the site for a 13 storey mixed-use building having a non-residential gross floor area of 130 square metres, and a residential gross floor area of 21,235 square metres. A Site Plan application is being processed concurrently. See 21 251435 STE 10 SA.",,5040834,10,Spadina-Fort York,2022-06-15T00:00:00,6:30pm,Webex,http://app.toronto.ca/AIC/index.do?folderRsn=cFZhdOeakGQQHPBCs3K0Bg%3D%3D,,,,
43,CD,17 118388 STE 30 CD,13,CUMMINGS,ST, ,   ,2017-02-17T00:00:00,Closed,317080.4,4835622.1,Draft Plan of Condominium for recently-constructed 4-unit apartment building,,4108883,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=h2MrEJS30NGoFmuE1F7%2Fbw%3D%3D,,,,
44,CD,21 202761 STE 11 CD,35,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Draft Plan Approved,314613.257,4837176.737,Draft Plan of Common Elements Condominium to permit 5 separate Parcels of Tied Land (POTLs).,,4982966,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=q4dmlfjBHiV%2Fi3uiHUmDSA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
45,PL,21 202763 STE 11 PL,31,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Approved,314622.586,4837154.244,Part Lot Control Exemption for 5 Lots.,,4982968,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=Ja83lgn5Of81jdE7iBTFcA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
46,PL,21 202763 STE 11 PL,27,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Approved,314633.122,4837121.316,Part Lot Control Exemption for 5 Lots.,,4982968,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=Ja83lgn5Of81jdE7iBTFcA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
47,PL,21 202763 STE 11 PL,29,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Approved,314633.246,4837141.488,Part Lot Control Exemption for 5 Lots.,,4982968,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=Ja83lgn5Of81jdE7iBTFcA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
48,PL,21 202763 STE 11 PL,33,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Approved,314614.4,4837164.318,Part Lot Control Exemption for 5 Lots.,,4982968,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=Ja83lgn5Of81jdE7iBTFcA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
49,PL,21 202763 STE 11 PL,35,SHERBOURNE,ST,N,M4W,2021-08-23T00:00:00,Approved,314613.257,4837176.737,Part Lot Control Exemption for 5 Lots.,,4982968,11,University-Rosedale,,,,http://app.toronto.ca/AIC/index.do?folderRsn=Ja83lgn5Of81jdE7iBTFcA%3D%3D,"Alonso, Hector",416-338-1096,hector.alonso2@toronto.ca,13 109447 STE 27 OZ
50,SA,21 245533 STE 14 SA,995,BROADVIEW,AVE, ,M4K,2021-12-06T00:00:00,NOAC Issued,316341.344,4838010.29,"The site plan approval application proposes to construct a 7 storey mixed use building having a gross floor area of approximately 5,720 square metres, including 394 square metres of ground floor commercial space with a density of 3.74 times the area of the lot. The proposal includes 50 residential dwelling units, 65 vehicle parking spaces in two underground levels and 77 bicycle spaces.levels. This file is related to the Official Plan and zoning by-law amendment application 17 266470 STE 29 OZ .  The policy and zoning to support this proposal has been approved in principle by the Ontario Lands Tribunal (OLT), Case No. PL180429.  ",,5033540,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=A0wsA%2FBRnGdpeGIbDRe0dw%3D%3D,"Kerr, Seanna",416-395-7053,Seanna.Kerr@toronto.ca,17 266470 STE 29 OZ
51,SA,21 245533 STE 14 SA,1003,BROADVIEW,AVE, ,M4K,2021-12-06T00:00:00,NOAC Issued,316353.683,4838048.666,"The site plan approval application proposes to construct a 7 storey mixed use building having a gross floor area of approximately 5,720 square metres, including 394 square metres of ground floor commercial space with a density of 3.74 times the area of the lot. The proposal includes 50 residential dwelling units, 65 vehicle parking spaces in two underground levels and 77 bicycle spaces.levels. This file is related to the Official Plan and zoning by-law amendment application 17 266470 STE 29 OZ .  The policy and zoning to support this proposal has been approved in principle by the Ontario Lands Tribunal (OLT), Case No. PL180429.  ",,5033540,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=A0wsA%2FBRnGdpeGIbDRe0dw%3D%3D,"Kerr, Seanna",416-395-7053,Seanna.Kerr@toronto.ca,17 266470 STE 29 OZ
52,SA,21 245533 STE 14 SA,1005,BROADVIEW,AVE, ,M4K,2021-12-06T00:00:00,NOAC Issued,316343.111,4838049.575,"The site plan approval application proposes to construct a 7 storey mixed use building having a gross floor area of approximately 5,720 square metres, including 394 square metres of ground floor commercial space with a density of 3.74 times the area of the lot. The proposal includes 50 residential dwelling units, 65 vehicle parking spaces in two underground levels and 77 bicycle spaces.levels. This file is related to the Official Plan and zoning by-law amendment application 17 266470 STE 29 OZ .  The policy and zoning to support this proposal has been approved in principle by the Ontario Lands Tribunal (OLT), Case No. PL180429.  ",,5033540,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=A0wsA%2FBRnGdpeGIbDRe0dw%3D%3D,"Kerr, Seanna",416-395-7053,Seanna.Kerr@toronto.ca,17 266470 STE 29 OZ
53,SA,21 245533 STE 14 SA,4,MORTIMER,AVE, ,M4K,2021-12-06T00:00:00,NOAC Issued,316377.288,4838047.187,"The site plan approval application proposes to construct a 7 storey mixed use building having a gross floor area of approximately 5,720 square metres, including 394 square metres of ground floor commercial space with a density of 3.74 times the area of the lot. The proposal includes 50 residential dwelling units, 65 vehicle parking spaces in two underground levels and 77 bicycle spaces.levels. This file is related to the Official Plan and zoning by-law amendment application 17 266470 STE 29 OZ .  The policy and zoning to support this proposal has been approved in principle by the Ontario Lands Tribunal (OLT), Case No. PL180429.  ",,5033540,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=A0wsA%2FBRnGdpeGIbDRe0dw%3D%3D,"Kerr, Seanna",416-395-7053,Seanna.Kerr@toronto.ca,17 266470 STE 29 OZ
54,SA,21 245533 STE 14 SA,2,MORTIMER,AVE, ,M4K,2021-12-06T00:00:00,NOAC Issued,316372.47,4838042.14,"The site plan approval application proposes to construct a 7 storey mixed use building having a gross floor area of approximately 5,720 square metres, including 394 square metres of ground floor commercial space with a density of 3.74 times the area of the lot. The proposal includes 50 residential dwelling units, 65 vehicle parking spaces in two underground levels and 77 bicycle spaces.levels. This file is related to the Official Plan and zoning by-law amendment application 17 266470 STE 29 OZ .  The policy and zoning to support this proposal has been approved in principle by the Ontario Lands Tribunal (OLT), Case No. PL180429.  ",,5033540,14,Toronto-Danforth,,,,http://app.toronto.ca/AIC/index.do?folderRsn=A0wsA%2FBRnGdpeGIbDRe0dw%3D%3D,"Kerr, Seanna",416-395-7053,Seanna.Kerr@toronto.ca,17 266470 STE 29 OZ
